"","country","medal","category","count"
"1","Norway","Gold","Men",10
"2","Germany","Gold","Men",6
"3","Canada","Gold","Men",6
"4","United States","Gold","Men",4
"5","Netherlands","Gold","Men",3
"6","Sweden","Gold","Men",2
"7","Republic of Korea","Gold","Men",3
"8","Switzerland","Gold","Men",2
"9","France","Gold","Men",3
"10","Austria","Gold","Men",4
"11","Japan","Gold","Men",1
"12","Italy","Gold","Men",0
"13","OAR","Gold","Men",1
"14","Czech Republic","Gold","Men",0
"15","Belarus","Gold","Men",0
"16","China","Gold","Men",1
"17","Slovakia","Gold","Men",0
"18","Finland","Gold","Men",1
"19","Great Britain","Gold","Men",0
"20","Poland","Gold","Men",1
"21","Hungary","Gold","Men",1
"22","Ukraine","Gold","Men",1
"23","Australia","Gold","Men",0
"24","Slovenia","Gold","Men",0
"25","Belgium","Gold","Men",0
"26","Spain","Gold","Men",0
"27","New Zealand","Gold","Men",0
"28","Kazakhstan","Gold","Men",0
"29","Latvia","Gold","Men",0
"30","Liechtenstein","Gold","Men",0
"31","Norway","Gold","Women",4
"32","Germany","Gold","Women",4
"33","Canada","Gold","Women",2
"34","United States","Gold","Women",5
"35","Netherlands","Gold","Women",5
"36","Sweden","Gold","Women",5
"37","Republic of Korea","Gold","Women",2
"38","Switzerland","Gold","Women",2
"39","France","Gold","Women",1
"40","Austria","Gold","Women",1
"41","Japan","Gold","Women",3
"42","Italy","Gold","Women",3
"43","OAR","Gold","Women",1
"44","Czech Republic","Gold","Women",2
"45","Belarus","Gold","Women",2
"46","China","Gold","Women",0
"47","Slovakia","Gold","Women",1
"48","Finland","Gold","Women",0
"49","Great Britain","Gold","Women",1
"50","Poland","Gold","Women",0
"51","Hungary","Gold","Women",0
"52","Ukraine","Gold","Women",0
"53","Australia","Gold","Women",0
"54","Slovenia","Gold","Women",0
"55","Belgium","Gold","Women",0
"56","Spain","Gold","Women",0
"57","New Zealand","Gold","Women",0
"58","Kazakhstan","Gold","Women",0
"59","Latvia","Gold","Women",0
"60","Liechtenstein","Gold","Women",0
"61","Norway","Gold","Co-ed",0
"62","Germany","Gold","Co-ed",4
"63","Canada","Gold","Co-ed",3
"64","United States","Gold","Co-ed",0
"65","Netherlands","Gold","Co-ed",0
"66","Sweden","Gold","Co-ed",0
"67","Republic of Korea","Gold","Co-ed",0
"68","Switzerland","Gold","Co-ed",1
"69","France","Gold","Co-ed",1
"70","Austria","Gold","Co-ed",0
"71","Japan","Gold","Co-ed",0
"72","Italy","Gold","Co-ed",0
"73","OAR","Gold","Co-ed",0
"74","Czech Republic","Gold","Co-ed",0
"75","Belarus","Gold","Co-ed",0
"76","China","Gold","Co-ed",0
"77","Slovakia","Gold","Co-ed",0
"78","Finland","Gold","Co-ed",0
"79","Great Britain","Gold","Co-ed",0
"80","Poland","Gold","Co-ed",0
"81","Hungary","Gold","Co-ed",0
"82","Ukraine","Gold","Co-ed",0
"83","Australia","Gold","Co-ed",0
"84","Slovenia","Gold","Co-ed",0
"85","Belgium","Gold","Co-ed",0
"86","Spain","Gold","Co-ed",0
"87","New Zealand","Gold","Co-ed",0
"88","Kazakhstan","Gold","Co-ed",0
"89","Latvia","Gold","Co-ed",0
"90","Liechtenstein","Gold","Co-ed",0
"91","Norway","Silver","Men",8
"92","Germany","Silver","Men",5
"93","Canada","Silver","Men",2
"94","United States","Silver","Men",5
"95","Netherlands","Silver","Men",3
"96","Sweden","Silver","Men",2
"97","Republic of Korea","Silver","Men",4
"98","Switzerland","Silver","Men",3
"99","France","Silver","Men",1
"100","Austria","Silver","Men",0
"101","Japan","Silver","Men",3
"102","Italy","Silver","Men",1
"103","OAR","Silver","Men",4
"104","Czech Republic","Silver","Men",1
"105","Belarus","Silver","Men",0
"106","China","Silver","Men",2
"107","Slovakia","Silver","Men",0
"108","Finland","Silver","Men",0
"109","Great Britain","Silver","Men",0
"110","Poland","Silver","Men",0
"111","Hungary","Silver","Men",0
"112","Ukraine","Silver","Men",0
"113","Australia","Silver","Men",2
"114","Slovenia","Silver","Men",1
"115","Belgium","Silver","Men",1
"116","Spain","Silver","Men",0
"117","New Zealand","Silver","Men",0
"118","Kazakhstan","Silver","Men",0
"119","Latvia","Silver","Men",0
"120","Liechtenstein","Silver","Men",0
"121","Norway","Silver","Women",5
"122","Germany","Silver","Women",4
"123","Canada","Silver","Women",5
"124","United States","Silver","Women",3
"125","Netherlands","Silver","Women",3
"126","Sweden","Silver","Women",4
"127","Republic of Korea","Silver","Women",3
"128","Switzerland","Silver","Women",2
"129","France","Silver","Women",2
"130","Austria","Silver","Women",1
"131","Japan","Silver","Women",2
"132","Italy","Silver","Women",1
"133","OAR","Silver","Women",1
