Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
802315717,"Dec 14, 2016, 5:22:14 PM",Morning Run,Run,,2208,8.05,,false,,activities/802315717.gpx
803831217,"Dec 16, 2016, 4:48:25 PM",Morning Run,Run,,2230,7.95,,false,,activities/803831217.gpx
804886559,"Dec 17, 2016, 10:20:49 PM",Afternoon Run,Run,,2102,7.94,,false,,activities/804886559.gpx
805710655,"Dec 18, 2016, 5:43:09 PM",Morning Run,Run,,2169,8.04,,false,,activities/805710655.gpx
807906464,"Dec 21, 2016, 2:41:48 PM",Exploring Glen Summit,Run,"",2750,9.43,,false,,activities/807906464.gpx
808785929,"Dec 22, 2016, 4:36:18 PM",The Circumnavigation of Leisure Village,Run,"",3063,10.44,,false,,activities/808785929.gpx
809412579,"Dec 23, 2016, 1:18:47 PM",First Look at Fountain Lake,Run,"",2493,8.78,,false,,activities/809412579.gpx
810319483,"Dec 24, 2016, 1:39:13 PM",Waiting for my New Shoes,Run,,3059,9.96,,false,,activities/810319483.gpx
811147207,"Dec 25, 2016, 5:00:26 PM",Christmas Run in my New Shoes!,Run,"",3031,10.68,,false,TG3,activities/811147207.gpx
811874439,"Dec 26, 2016, 2:12:15 PM",Back to Fountain Lake,Run,"",3249,10.90,,false,TG3,activities/811874439.gpx
812950322,"Dec 27, 2016, 3:57:07 PM",Circumnavigation of Mountain Top,Run,,4090,14.00,,false,TG3,activities/812950322.gpx
815056791,"Dec 29, 2016, 6:34:15 PM",Snowy Circles!,Run,"",2402,8.29,,false,TG3,activities/815056791.gpx
816236001,"Dec 31, 2016, 12:14:27 AM",The Ol' Ball and Chain,Run,Stroller Run with Ira,1812,5.88,,false,Spyridon,activities/816236001.gpx
817168932,"Dec 31, 2016, 6:08:16 PM",Noon Year's Eve Half Marathon!,Run,"",6735,22.30,,false,Spyridon,activities/817168932.gpx
818087403,"Jan 1, 2017, 9:09:28 PM",Recovery Run,Run,,1891,5.84,,false,TG3,activities/818087403.gpx
821064142,"Jan 4, 2017, 4:32:56 PM",UCSC on a Rainy Morning,Run,"",1644,5.93,,false,Spyridon,activities/821064142.gpx
822159607,"Jan 5, 2017, 4:42:43 PM",Enjoying the Sunshine!,Run,,2188,8.02,,false,TG3,activities/822159607.gpx
823255808,"Jan 6, 2017, 6:08:24 PM",Enjoying Nature Before the Rain,Run,,2296,7.69,,false,Spyridon,activities/823255808.gpx
824294211,"Jan 7, 2017, 4:52:21 PM",Rain Run,Run,,2339,8.37,,false,TG3,activities/824294211.gpx
825568269,"Jan 8, 2017, 5:26:47 PM",Wind Route,Run,,1921,6.33,,false,Spyridon,activities/825568269.gpx
826472321,"Jan 9, 2017, 5:01:38 PM",First Run of the Quarter,Run,,2237,8.00,,false,TG3,activities/826472321.gpx
828629067,"Jan 11, 2017, 4:54:09 PM",Rainbow Run,Run,,2123,7.97,,false,TG3,activities/828629067.gpx
833062880,"Jan 15, 2017, 4:47:29 PM",Morning Run with Lua,Run,,2041,5.90,,false,Spyridon,activities/833062880.gpx
841758821,"Jan 23, 2017, 4:48:21 PM",Morning Run,Run,,1649,5.86,,false,TG3,activities/841758821.gpx
842810907,"Jan 24, 2017, 4:39:18 PM",Morning Run,Run,,1695,5.88,,false,TG3,activities/842810907.gpx
843959088,"Jan 25, 2017, 4:56:18 PM",Morning Run,Run,,1556,5.89,,false,TG3,activities/843959088.gpx
