country,coffee_tea_cocoa
Afghanistan,277.88478883
Albania,33.590169499
Armenia,0
Azerbaijan,122.393035537
Bangladesh,146.757231264
Belarus,276.628021025
Benin,0
Bhutan,4.278862293
Bolivia,171.01795808
Bosnia and Herzegovina,304.918894001
Brazil,2277.48201512
Bulgaria,92.143834069
Burkina Faso,41.503557959
Burundi,0
Cambodia,66.772739785
Cameroon,33.565617009
Cabo Verde,14.511123242
Chad,120.060516691
China,11595.01158115
Colombia,1285.668950647
"Congo, Dem. Rep.",83.189224436
"Congo, Rep.",9.529887734
Cote d'Ivoire,101.934660204
Djibouti,1.246789912
"Egypt, Arab Rep.",589.474189576
El Salvador,104.474714691
Ethiopia,1628.302103337
Fiji,6.553630766
Gabon,9.253915051
"Gambia, The",7.601995319
Ghana,109.770998273
Guatemala,146.919067826
Guinea,0.323235057
Honduras,60.572447193
India,7561.660706273
Indonesia,1102.693803374
Iraq,449.289253564
Jamaica,45.414508483
Jordan,232.051749029
Kazakhstan,483.945563247
Kenya,265.7618125
Kyrgyz Republic,33.081619244
Lao PDR,12.495931575
Latvia,101.624374809
Lesotho,5.285363922
Liberia,5.98210474
Lithuania,137.981739882
"Macedonia, FYR",52.833619507
Madagascar,66.724216185
Malawi,25.856591925
Maldives,3.19841918
Mali,119.008513211
Mauritania,91.61033339
Mauritius,15.135601662
Mexico,501.706118387
Moldova,47.78611929
Mongolia,13.817270322
Montenegro,14.927387177
Morocco,854.587875596
Mozambique,2.579875404
Namibia,5.843561471
Nepal,52.200012657
Nicaragua,15.984291095
Niger,20.117181445
Nigeria,455.557201475
Pakistan,777.109221241
Papua New Guinea,126.561054402
Peru,269.262829292
Philippines,805.000307143
Romania,563.324350929
Russian Federation,4023.333032637
Rwanda,2.320707504
Sao Tome and Principe,1.571836273
Senegal,152.272248048
Serbia,366.802440869
Sierra Leone,22.010822006
South Africa,400.408614126
Sri Lanka,256.482707839
Swaziland,1.419611032
Tajikistan,56.384610718
Tanzania,83.380430596
Thailand,78.264324697
Timor Leste,9.522140276
Togo,5.123797993
Turkey,1892.531006214
Uganda,27.46700388
Ukraine,1435.806689728
Vietnam,340.870152568
"Yemen, Rep.",255.393056844
Zambia,27.038215589
